adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/xmLLkEhqIw0Me0wgO9ZhtP0MW7U.jpg,"[53, 18, 28, 80]",561362,en,Rust Creek,"When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",0.9319,/lrsPIRkKZWTKbd3C0sSj7a3lMES.jpg,2019-01-04,Rust Creek,False,6.296,348
False,/65Hu40ajfe7PTB5W0pYBSWTfwTq.jpg,"[18, 14, 53]",102780,en,Byzantium,"Residents of a coastal town learn, with deadly consequences, the secret shared by the two mysterious women who have sought refuge at a local boarding house, the Byzantium.",1.4463,/kFkfRnXz6Rk9tAKgUznJH1FURQ6.jpg,2013-04-11,Byzantium,False,6.3,941
False,/kP5k4gA6yJiQCeN5FNcGwRtGDuq.jpg,"[10749, 35, 18]",736918,en,The Noel Diary,"Cleaning out his childhood home at Christmas, a novelist meets a woman searching for her birth mother. Will an old diary unlock their pasts — and hearts?",7.1017,/f6mMqxJfAD2Ao4sto7kOq6a7tWg.jpg,2022-11-24,The Noel Diary,False,6.295,397
False,/lRFtFFIoGQfHxyHNS254Ew7PV9c.jpg,"[878, 12]",455839,en,Time Trap,A group of students become trapped inside a mysterious cave where they discover time passes differently underground than on the surface.,2.0295,/583rpyMn8UL8F2oH26Sz6WoKDDe.jpg,2018-06-22,Time Trap,False,6.3,1290
False,/1KlJVF0xXLeFq2KTIjzA2LvWHH9.jpg,"[80, 18]",67748,en,Snowtown,"Based on true events, 16 year-old Jamie falls in with his mother's new boyfriend and his crowd of self-appointed neighborhood watchmen, a relationship that leads to a spree of torture and murder.",5.9708,/5LW1vPLa8ueVwdOgR8w5xYkSQGv.jpg,2011-05-19,Snowtown,False,6.295,344
False,/38W3ELhUprf0aTWyviRggCs1Jmi.jpg,"[35, 18]",43200,it,Basilicata Coast to Coast,A music group and a journalist cross the region of Basilicata by foot to attend a music festival.,0.3358,/1jFrV9DPPS38jgYgyUFJXukMsAt.jpg,2010-04-09,Basilicata Coast to Coast,False,6.295,393
False,/yVSgw4UyXWg0Edl7KMehdhhgIwL.jpg,"[878, 28, 53]",34851,en,Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,16.8504,/wdniP8NDaJIydi1hMxhpbJMUfr6.jpg,2010-07-07,Predators,False,6.295,4522
False,/hoItQR25BE6qWLInEq1iRPgBDDZ.jpg,"[14, 16, 35, 10751]",11114,en,Pete's Dragon,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",1.3557,/noShGNQKAgMqNanJL5EiZlf6LCp.jpg,1977-11-03,Pete's Dragon,False,6.3,713
False,/iP0capCU4w5nxCDl398CH7yR1r9.jpg,"[12, 14, 28]",9543,en,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",9.0011,/siNGMLdOUNYLEGtlsnmQcpO2XZX.jpg,2010-05-19,Prince of Persia: The Sands of Time,False,6.295,7069
False,/qfKVvAjIKCocpjTAjxT6WkAA3MG.jpg,"[35, 10749]",680860,en,I Want You Back,"Peter and Emma thought they were on the precipice of life’s biggest moments – marriage, kids, and houses in the suburbs – until their respective partners dumped them. Horrified to learn that the loves of their lives have already moved on, Peter and Emma hatch a hilarious plan to win back their exes with unexpected results.",1.3567,/mljQydSPAmyshvq1WHKveNfDLeC.jpg,2022-02-10,I Want You Back,False,6.294,364
